timestamp,process,protocol,local,remote,remote_host,status
2026-03-30 14:55:54,APSDaemon.exe,TCP,192.168.1.101:65353,17.249.252.4:5223,-,ESTABLISHED
2026-03-30 14:55:54,Code.exe,TCP,192.168.1.101:63247,13.89.179.10:443,-,ESTABLISHED
2026-03-30 14:55:54,MEGAsync.exe,TCP,192.168.1.101:62590,185.206.25.62:443,-,ESTABLISHED
2026-03-30 14:55:54,MEGAsync.exe,TCP,192.168.1.101:62236,185.206.25.65:443,-,ESTABLISHED
2026-03-30 14:55:54,MEGAsync.exe,TCP,192.168.1.101:64794,66.203.125.12:443,-,ESTABLISHED
2026-03-30 14:55:54,MEGAsync.exe,TCP,192.168.1.101:49667,66.203.125.15:443,-,ESTABLISHED
2026-03-30 14:56:07,MEGAsync.exe,TCP,192.168.1.101:50398,66.203.125.28:443,-,ESTABLISHED
2026-03-30 14:56:15,Code.exe,TCP,192.168.1.101:52739,20.42.65.90:443,-,ESTABLISHED
2026-03-30 14:56:15,MEGAsync.exe,TCP,192.168.1.101:52741,185.206.25.64:443,-,ESTABLISHED
2026-03-30 14:56:39,Code.exe,TCP,192.168.1.101:49670,20.42.65.90:443,-,ESTABLISHED
2026-03-30 14:56:47,MEGAsync.exe,TCP,192.168.1.101:49667,66.203.125.15:443,-,ESTABLISHED
2026-03-30 14:56:55,Code.exe,TCP,192.168.1.101:52649,169.254.169.254:80,-,SYN_SENT
2026-03-30 14:56:55,Code.exe,TCP,192.168.1.101:52648,20.42.65.90:443,-,ESTABLISHED
2026-03-30 14:56:55,MEGAsync.exe,TCP,192.168.1.101:49983,185.206.25.63:443,-,ESTABLISHED
2026-03-30 14:57:03,MEGAsync.exe,TCP,192.168.1.101:62236,185.206.25.65:443,-,ESTABLISHED
2026-03-30 14:57:03,MEGAsync.exe,TCP,192.168.1.101:64794,66.203.125.12:443,-,ESTABLISHED
2026-03-30 14:57:11,Code.exe,TCP,192.168.1.101:59680,20.42.65.90:443,-,ESTABLISHED
2026-03-30 14:57:19,MEGAsync.exe,TCP,192.168.1.101:64794,66.203.125.12:443,-,ESTABLISHED
2026-03-30 14:58:15,Code.exe,TCP,192.168.1.101:50558,40.79.150.122:443,-,ESTABLISHED
2026-03-30 14:58:23,MEGAsync.exe,TCP,192.168.1.101:59090,185.206.25.61:443,-,ESTABLISHED
2026-03-30 14:58:23,MEGAsync.exe,TCP,192.168.1.101:64794,66.203.125.12:443,-,ESTABLISHED
2026-03-30 14:58:39,MEGAsync.exe,TCP,192.168.1.101:49745,185.206.25.60:443,-,ESTABLISHED
2026-03-30 14:58:55,Code.exe,TCP,192.168.1.101:54175,40.79.150.122:443,-,ESTABLISHED
2026-03-30 14:59:19,MEGAsync.exe,TCP,192.168.1.101:64794,66.203.125.12:443,-,ESTABLISHED
2026-03-30 14:59:27,MEGAsync.exe,TCP,192.168.1.101:58212,185.206.25.62:443,-,ESTABLISHED
2026-03-30 15:00:01,Code.exe,TCP,192.168.1.101:64789,150.171.110.36:443,-,ESTABLISHED
2026-03-30 15:00:01,Code.exe,TCP,192.168.1.101:55097,150.171.110.36:443,-,ESTABLISHED
2026-03-30 15:00:07,Code.exe,TCP,192.168.1.101:64789,150.171.110.36:443,-,CLOSE_WAIT
2026-03-30 15:00:31,Code.exe,TCP,192.168.1.101:51369,40.71.11.167:443,-,ESTABLISHED
2026-03-30 15:00:39,BackgroundDownload.exe,TCP,192.168.1.101:63655,13.107.5.93:443,-,ESTABLISHED
2026-03-30 15:00:39,BackgroundDownload.exe,TCP,192.168.1.101:63659,20.42.128.98:443,-,ESTABLISHED
2026-03-30 15:00:39,BackgroundDownload.exe,TCP,192.168.1.101:63660,23.13.218.36:443,-,ESTABLISHED
2026-03-30 15:00:39,BackgroundDownload.exe,TCP,192.168.1.101:63657,23.13.218.46:443,-,ESTABLISHED
2026-03-30 15:00:39,BackgroundDownload.exe,TCP,192.168.1.101:63658,23.13.218.46:443,-,ESTABLISHED
2026-03-30 15:00:47,Code.exe,TCP,192.168.1.101:64789,150.171.110.36:443,-,CLOSE_WAIT
2026-03-30 15:00:47,Code.exe,TCP,192.168.1.101:55097,150.171.110.36:443,-,ESTABLISHED
2026-03-30 15:00:47,Code.exe,TCP,192.168.1.101:51369,40.71.11.167:443,-,ESTABLISHED
2026-03-30 15:00:47,Code.exe,TCP,192.168.1.101:54175,40.79.150.122:443,-,ESTABLISHED
2026-03-30 15:00:47,MEGAsync.exe,TCP,192.168.1.101:49745,185.206.25.60:443,-,ESTABLISHED
2026-03-30 15:00:55,Code.exe,TCP,192.168.1.101:63665,140.82.113.21:443,-,ESTABLISHED
2026-03-30 15:01:03,MEGAsync.exe,TCP,192.168.1.101:59090,185.206.25.61:443,-,ESTABLISHED
